SampleID,SubjectID,Cluster,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Sample_LVTGSS,Subject_AKYEUI,6,11.626609,3.363961,4.0240545,4.7622013,4.491303,5.846862,5.207672,4.130859,5.202228,5.238835,5.024649,6.759325,5.731852,6.2296696,4.366657,3.7407975,5.129727,4.223185,5.8361764,5.026899,5.097859,5.3246164,4.640468,4.78489,3.4112258,4.36915,4.9364905,4.4644675,4.8815575,5.5272303,5.965147,4.191523,5.6957517,5.096646,4.1363144,4.3745933,5.091626,6.691651,5.202608,5.163106,4.692092,3.4393961,4.4260445,4.9688454,3.7611592,4.9763002,5.525477,4.6138706,6.423333,3.4728973,4.322528,5.2744746,5.527353,3.995307,5.0741067,5.852916,5.247848,4.5525928,4.2149734,4.4594827,4.7700257,6.1477327,4.4691653,6.228588
Sample_LVTGSS,Subject_AKYEUI,19,6.5229597,13.248568,5.354863,5.1499815,4.76666,6.060008,2.7781994,4.793939,3.8832912,3.7237966,4.451241,5.313139,4.57675,4.9627156,5.0901856,4.4485383,3.9298697,4.9019217,5.6989307,5.4635735,4.880797,5.1856503,4.6298757,4.864552,5.326303,5.153362,4.838282,4.96956,5.016388,4.7755914,4.930288,5.067731,5.0355687,5.0073404,5.12086,4.7463417,4.9960356,4.8526864,4.6286983,4.9444523,4.9834075,5.1337247,5.1122813,5.234273,5.1735153,5.276674,5.147136,5.0902824,5.271806,5.17876,4.915036,5.588875,5.2005677,4.826219,4.8697357,5.0728507,4.946546,4.998492,5.0476894,5.038815,4.8438177,4.9962854,4.9732385,4.726943
Sample_YXPHCI,Subject_AKYEUI,9,5.8479567,11.6932745,4.4991646,4.756937,3.6385744,-3.8506627,7.1136036,4.9105954,4.8380423,5.282146,5.2915277,4.978813,4.1885343,4.6667166,5.473338,5.6255503,4.6775723,4.702944,5.500531,5.340263,4.8307943,5.1521482,4.9870615,5.08068,5.193677,5.8712444,5.047089,5.77277,4.917014,4.655979,5.1188135,4.9214797,4.8419094,4.976886,5.17787,4.607366,5.276431,5.0552106,4.40514,5.0282965,5.0897655,3.5860865,5.3124027,4.9945107,4.846723,4.824003,4.4511566,5.0483766,4.778334,5.14719,4.5834374,5.028176,4.9091015,5.0245285,4.6883407,4.9728975,5.017853,5.065725,4.9395695,5.090015,4.8704095,5.094122,4.948355,4.7698903
Sample_YXPHCI,Subject_AKYEUI,13,6.123475,13.893475,3.1557834,5.239216,10.739293,5.058274,8.213775,5.693203,5.5818143,6.326629,3.870815,5.201403,5.08643,4.586447,4.4374876,4.903168,4.0610905,5.3679776,5.4687223,4.8129025,4.6759825,5.1287923,4.962358,5.312384,5.1070795,4.5255413,4.8057785,5.14912,5.0250645,4.720856,4.857882,4.89574,4.827628,5.0120687,4.451183,4.582697,4.4689803,5.537003,4.8178043,5.2714972,4.8033423,5.350047,4.76049,5.6584387,5.276048,5.268138,5.2288003,4.4615655,5.1395316,5.216662,4.8678985,4.5994997,5.0794625,4.7441463,4.959493,5.079836,5.0777154,5.164785,5.036408,4.8344903,4.604153,5.076772,5.0071573,4.559144
Sample_YXPHCI,Subject_AKYEUI,12,6.377277,13.934122,3.0514097,5.233143,10.516189,4.7768383,7.682468,5.587693,5.4904594,5.747384,3.555028,5.218597,4.0102158,4.0977964,4.261117,4.622804,4.027797,5.226461,5.4345703,4.685147,4.5002837,5.0566735,4.9499216,5.376077,4.8973236,4.543572,4.7993193,4.9590464,4.6730604,4.482325,4.7025394,4.974059,4.876742,5.147329,4.5886464,4.7495923,4.7870526,5.3392844,4.8527327,5.4121437,4.804095,5.2391725,4.7419925,5.858492,5.0764546,5.105976,5.315817,4.446133,5.3497996,5.2011137,5.0159316,4.770163,4.9785733,4.5828586,5.1639214,5.3148212,5.1210246,4.9597325,5.0374556,4.839225,4.3524914,5.112045,4.6846476,4.659616
Sample_WLCFJC,Subject_AYZFWN,19,6.466726,13.067193,5.5131545,5.181788,4.5240912,6.162114,2.6870475,4.7653036,3.9283712,3.8442302,4.5991483,5.299529,4.677408,4.9749155,5.1537447,4.473994,3.9942129,4.795626,5.6275053,5.5320897,4.8734684,5.1745872,4.717292,4.9263263,5.2438817,5.120981,4.8404913,5.046394,5.0698028,4.7360306,4.9598303,5.041838,4.9671683,5.013568,5.1948667,4.788797,5.0061307,4.7662106,4.6384807,4.9040804,4.979879,5.074028,5.1053753,5.1052303,5.232441,5.2353544,5.1381297,5.078928,5.2363553,5.201099,4.9092164,5.6278753,5.2259603,4.837653,4.814367,5.0853915,4.9413652,4.8995895,5.0567756,5.0624323,4.821483,5.0088077,4.9429464,4.782677
Sample_WLCFJC,Subject_AYZFWN,1,4.088245,1.7353413,12.1761055,4.6817284,5.131737,3.1021066,7.577925,6.729054,4.162994,6.41304,3.9170094,4.5994,6.6591845,3.1807919,3.049242,4.3190246,2.3379161,3.1596932,4.3696036,3.789568,6.1715584,4.104306,5.7714653,5.474937,5.990524,5.097553,5.995912,4.9020658,5.3071523,3.1491377,5.184489,4.585832,2.3713028,4.13362,6.446286,3.7899747,7.3527246,6.2595086,4.266371,6.6647797,5.725062,3.294169,5.9170194,5.9827967,4.136104,6.2504406,4.5287232,4.0327296,4.240288,3.2029116,5.1651626,6.30188,4.5132947,4.3673024,4.456563,4.5972443,4.27167,6.0565295,5.5540247,2.9223475,5.1012444,6.649774,2.919582,3.3729079
Sample_VHANBA,Subject_AYZFWN,14,-1.7973073,11.558336,5.123333,-0.38616288,4.5335016,4.7201304,5.1355247,3.0874498,5.5673356,4.7967176,4.592298,3.2864892,5.4517617,5.1043873,4.9753704,5.6509643,5.4595323,5.2515182,5.1945057,4.1052113,5.257554,4.8939033,5.109949,5.2484846,4.6911893,4.778046,4.950945,4.97068,5.0782804,5.3785243,4.953847,5.423834,5.473527,4.4467263,5.2180367,5.545625,4.1515317,4.9664035,5.295439,5.0835876,5.3536005,5.319526,5.0805593,4.7816668,4.877272,4.7194757,4.8509645,5.3303127,4.9469886,4.625888,5.1317525,4.7750463,5.0466886,5.001616,5.41784,4.8937535,4.8042088,5.064918,5.0073047,5.0999064,4.8472724,4.5182085,5.1168566,4.9224443
Sample_VHANBA,Subject_AYZFWN,3,4.287196,3.8000224,4.328873,11.426792,3.9665272,4.8937325,3.7690501,3.7193801,6.049576,6.0922832,3.823637,4.963104,6.979563,5.0790267,5.469635,3.7029083,4.8567896,4.4395947,5.6483216,4.133354,6.637667,5.226489,4.6651144,4.5505805,5.0557632,4.65917,5.5968404,4.071272,3.9348495,7.265255,5.139956,5.6774282,5.7568474,5.131019,5.324955,7.1040998,6.7481346,4.0669923,2.9960377,6.248075,6.1038485,4.2424455,4.4229507,5.7745833,5.0130043,5.2875113,2.6820571,4.429733,6.484849,5.9383373,4.773346,3.4232311,3.9057877,4.627989,4.6494784,6.8290877,4.242477,5.9022403,4.7507987,5.44083,5.3532076,3.986995,5.6050024,4.177948
Sample_HKUBJO,Subject_AYZFWN,13,5.7968674,14.054255,3.287391,5.266267,11.103936,5.272825,8.637618,5.8581557,5.7787495,6.5689797,3.746774,4.9883795,6.179295,4.7198014,4.686426,5.0322595,4.1567254,5.4945483,5.5713935,4.903772,4.775731,5.2738214,5.042299,5.4125643,5.2062135,4.65499,4.733163,5.092119,5.317533,4.848603,5.086705,4.8424225,4.8044076,5.0585747,4.4141064,4.396581,4.218878,5.777413,4.8226547,5.3067718,4.680408,5.3399806,4.8060064,5.535421,5.4356227,5.335276,5.283113,4.3866577,4.8774543,5.21172,4.8974767,4.3266563,5.1710677,4.8019624,4.7766037,4.873078,5.110356,5.2418623,4.923066,4.692604,4.7886844,5.172647,5.262147,4.5613832
